Month,ZipCode,ZipName,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2019-02-01 00:00:00,54534,"Hurley, WI",*,107050.000000,-0.0732,-0.0687,19.5,-0.0714,,147.75,-0.0359,0.3939,0.0,,,0.0,,,0.0,,,0.0,,-1.0000,114476.0000,-0.0933,-0.3431,19.5,-0.0714,-0.2642,0.0000,0.0000,-0.0816
2019-02-01 00:00:00,54538,"Lac Du Flambeau, WI",*,299900.000000,0.0003,,55.0,-0.0678,-0.1057,220.25,0.1501,-0.0079,0.0,-1.0000,-1.0000,0.0,,,0.0,,,0.0,,,360966.0000,-0.0155,-0.1946,55.0,-0.0678,-0.1057,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54539,"Lake Tomahawk, WI",,321800.000000,0.1193,-0.0987,13.5,-0.1000,-0.2286,149.25,0.1798,-0.1720,0.0,,-1.0000,0.0,,,0.0,,,0.0,,,262738.0000,0.0416,-0.2305,13.5,-0.1000,-0.2286,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54540,"Land O Lakes, WI",*,365050.000000,-0.0254,,28.5,-0.0806,,201.50,0.0062,,0.0,-1.0000,-1.0000,0.0,,,0.0,-1.0000,,0.0,,,616897.0000,-0.1123,0.0275,28.5,-0.0806,-0.3804,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54542,"Long Lake, WI",,141100.000000,0.0155,0.0934,25.0,-0.0741,0.0000,194.25,0.0792,0.3875,2.0,,,0.0,,,0.0,,,0.0,,,135371.0000,0.0025,-0.1621,25.0,-0.0741,0.0000,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54545,"Manitowish Waters, WI",,471550.000000,-0.0551,0.1361,13.5,-0.1000,-0.1818,221.50,0.1330,-0.0534,2.0,,,0.0,,,0.0,,-1.0000,0.0,,,530129.0000,-0.0200,-0.0295,13.5,-0.1000,-0.1818,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54547,"Mercer, WI",,174950.000000,-0.0715,-0.0561,74.0,-0.0199,0.0000,179.50,0.0716,-0.2280,2.0,-0.6667,0.0000,0.0,,,2.0,-0.5000,0.0000,0.0,,,213683.0000,-0.0420,-0.1951,74.0,-0.0199,0.0000,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54548,"Minocqua, WI",,299000.000000,-0.0714,0.0498,108.5,0.0483,-0.1780,147.25,-0.0313,-0.2105,12.0,-0.1429,-0.2500,0.0,,,4.0,0.0000,,0.0,,,374746.0000,-0.0545,-0.0329,108.5,0.0483,-0.1780,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54552,"Park Falls, WI",,99950.000000,0.0000,0.0048,103.5,0.0000,-0.1914,233.50,0.0886,0.0264,8.0,-0.4286,1.0000,0.0,,,2.0,0.0000,-0.5000,0.0,,,159530.0000,0.0026,-0.0686,103.5,0.0000,-0.1914,0.0000,0.0000,0.0000
2019-02-01 00:00:00,54554,"Phelps, WI",*,220550.000000,0.1651,,24.0,-0.1579,-0.2836,286.25,0.2569,,0.0,,-1.0000,0.0,,,0.0,,,0.0,,,270822.0000,0.0154,-0.5819,24.0,-0.1579,-0.2836,0.0000,0.0000,0.0000
